arm,session,round,username_1,username_2,task_1,task_2,design_1,design_2,strategy_1,strategy_2,collabBelief_1,collabBelief_2,usedRobot_1,usedRobot_2,score_1,score_2
control,01,25,user0011,user0012,27,7,Y,Y,I,I,99,22,false,false,50,50
control,01,26,user0011,user0012,16,23,Y,Y,I,I,100,32,false,false,50,50
control,01,27,user0011,user0012,2,20,Y,Y,I,I,100,23,false,false,50,50
control,01,28,user0011,user0012,26,22,L,K,C,C,100,66,false,false,96,88
control,01,29,user0011,user0012,28,17,M,K,C,C,100,67,false,false,82,114
control,01,30,user0011,user0012,21,9,M,M,C,C,100,82,false,false,96,72
control,01,1,user0013,user0014,0,13,K,L,C,C,94,76,false,false,130,106
control,01,2,user0013,user0014,20,2,L,Y,C,I,74,29,false,false,-170,50
control,01,3,user0013,user0014,15,4,Y,Y,I,I,78,2,false,false,50,50
control,01,4,user0013,user0014,3,25,L,Y,C,I,83,6,false,false,11,50
control,01,5,user0013,user0014,12,8,M,L,C,C,85,89,false,false,114,82
control,01,6,user0013,user0014,9,21,M,Y,C,I,75,7,false,false,17,50
control,01,7,user0013,user0014,18,14,M,Y,C,I,78,3,false,false,-85,50
control,01,8,user0013,user0014,22,26,L,Y,C,I,76,6,false,false,-150,50
control,01,9,user0013,user0014,8,12,L,M,C,C,78,96,false,false,82,114
control,01,10,user0013,user0014,4,15,Y,Y,I,I,82,2,false,false,50,50
control,01,11,user0013,user0014,14,18,K,K,C,C,89,8,false,false,100,106
control,01,12,user0013,user0014,11,29,K,M,C,C,1,92,false,false,107,100
control,01,13,user0013,user0014,17,28,Y,K,I,C,80,6,false,false,50,-270
control,01,14,user0013,user0014,13,0,M,K,C,C,78,89,false,false,95,130
control,01,15,user0013,user0014,25,3,Y,M,I,C,84,7,false,false,50,-19
control,01,16,user0013,user0014,7,27,Y,L,I,C,82,6,false,false,50,-300
control,01,17,user0013,user0014,19,5,L,Y,C,I,100,7,false,false,-65,50
control,01,18,user0013,user0014,5,19,K,K,C,C,100,96,false,false,115,72
control,01,19,user0013,user0014,23,16,M,M,C,C,89,93,false,false,82,96
control,01,20,user0013,user0014,24,10,L,L,C,C,86,95,false,false,100,105
control,01,21,user0013,user0014,10,24,Y,K,I,C,94,97,false,false,50,-40
control,01,22,user0013,user0014,29,11,L,M,C,C,81,91,false,false,88,96
control,01,23,user0013,user0014,1,6,M,K,C,C,93,97,false,false,122,96
control,01,24,user0013,user0014,27,7,Y,K,I,C,94,94,false,false,50,-46
control,01,25,user0013,user0014,16,23,M,M,C,C,87,90,false,false,96,82
control,01,26,user0013,user0014,2,20,L,L,C,C,84,90,false,false,114,105
control,01,27,user0013,user0014,26,22,L,K,C,C,82,94,false,false,96,88
control,01,28,user0013,user0014,28,17,Y,K,I,C,90,91,false,false,50,-142
control,01,29,user0013,user0014,21,9,M,M,C,C,96,93,false,false,96,72
control,01,30,user0013,user0014,6,1,M,K,C,C,91,95,false,false,122,96
control,02,1,user0023,user0024,6,1,M,M,C,C,63,92,false,false,122,122
control,02,2,user0023,user0024,0,13,K,L,C,C,71,94,false,false,130,106
control,02,3,user0023,user0024,20,2,K,L,C,C,2,97,false,false,130,114
control,02,4,user0023,user0024,15,4,M,K,C,C,31,100,false,false,130,100
control,02,5,user0023,user0024,3,25,M,K,C,C,66,82,false,false,106,130
control,02,6,user0023,user0024,12,8,M,K,C,C,6,100,false,false,114,95
control,02,7,user0023,user0024,9,21,L,K,C,C,4,62,false,false,100,122
control,02,8,user0023,user0024,18,14,K,K,C,C,11,84,false,false,106,100
control,02,9,user0023,user0024,22,26,M,K,C,C,0,74,false,false,114,107
control,02,10,user0023,user0024,8,12,M,K,C,C,31,50,false,false,106,88
control,02,11,user0023,user0024,4,15,K,L,C,C,78,50,false,false,100,115
control,02,12,user0023,user0024,14,18,K,L,C,C,67,78,false,false,100,82
control,02,13,user0023,user0024,11,29,L,K,C,C,14,50,false,false,122,72
control,02,14,user0023,user0024,17,28,Y,K,I,C,33,70,false,false,50,-270
control,02,15,user0023,user0024,13,0,L,K,C,C,2,87,false,false,106,130
control,02,16,user0023,user0024,25,3,K,M,C,C,0,74,false,false,130,106
control,02,17,user0023,user0024,7,27,K,K,C,C,19,31,false,false,114,100
control,02,18,user0023,user0024,19,5,M,L,C,C,10,94,false,false,100,130
control,02,19,user0023,user0024,5,19,L,M,C,C,0,92,false,false,130,100
control,02,20,user0023,user0024,23,16,L,L,C,C,30,50,false,false,106,122
control,02,21,user0023,user0024,24,10,L,K,C,C,8,43,false,false,100,130
control,02,22,user0023,user0024,10,24,K,K,C,C,6,39,false,false,130,72
control,02,23,user0023,user0024,29,11,M,L,C,C,25,42,false,false,100,122
control,02,24,user0023,user0024,1,6,M,M,C,C,11,44,false,false,122,122
control,02,25,user0023,user0024,27,7,L,K,C,C,10,82,false,false,114,114
control,02,26,user0023,user0024,16,23,L,L,C,C,0,31,false,false,122,106
control,02,27,user0023,user0024,2,20,L,M,C,C,2,34,false,false,114,115
control,02,28,user0023,user0024,26,22,M,L,C,C,1,35,false,false,122,100
control,02,29,user0023,user0024,28,17,K,L,C,C,35,59,false,false,106,100
control,02,30,user0023,user0024,21,9,K,L,C,C,0,79,false,false,122,100
control,02,1,user0025,user0026,0,13,K,K,C,C,50,94,false,false,130,82
control,02,2,user0025,user0026,20,2,Y,Y,I,I,50,53,false,false,50,50
control,02,3,user0025,user0026,15,4,Y,Y,I,I,50,0,false,false,50,50
control,02,4,user0025,user0026,3,25,M,Y,C,I,50,51,false,false,-19,50
control,02,5,user0025,user0026,12,8,Y,L,I,C,50,31,false,false,50,2
control,02,6,user0025,user0026,9,21,L,Y,C,I,50,0,false,false,-25,50
control,02,7,user0025,user0026,18,14,Y,Y,I,I,50,37,false,false,50,50
control,02,8,user0025,user0026,22,26,L,L,C,C,50,0,false,false,100,96
control,02,9,user0025,user0026,8,12,M,M,C,C,50,0,false,false,106,114
control,02,10,user0025,user0026,4,15,L,Y,C,I,50,8,false,false,4,50
control,02,11,user0025,user0026,14,18,K,Y,C,I,50,9,false,false,-68,50
control,02,12,user0025,user0026,11,29,Y,Y,I,I,50,50,false,false,50,50
control,02,13,user0025,user0026,17,28,Y,Y,I,I,50,6,false,false,50,50
control,02,14,user0025,user0026,13,0,M,Y,C,I,50,3,false,false,-55,50
control,02,15,user0025,user0026,25,3,L,L,C,C,50,54,false,false,105,82
control,02,16,user0025,user0026,7,27,M,Y,C,I,50,0,false,false,-25,50
control,02,17,user0025,user0026,19,5,K,Y,C,I,71,15,false,false,-16,50
control,02,18,user0025,user0026,5,19,M,Y,C,I,65,17,false,false,-33,50
control,02,19,user0025,user0026,23,16,Y,Y,I,I,75,0,false,false,50,50
control,02,20,user0025,user0026,24,10,K,Y,C,I,80,0,false,false,-40,50
control,02,21,user0025,user0026,10,24,L,Y,C,I,54,0,false,false,-80,50
control,02,22,user0025,user0026,29,11,Y,Y,I,I,56,50,false,false,50,50
control,02,23,user0025,user0026,1,6,K,K,C,C,74,74,false,false,96,96
control,02,24,user0025,user0026,27,7,Y,Y,I,I,71,14,false,false,50,50
control,02,25,user0025,user0026,16,23,Y,Y,I,I,73,1,false,false,50,50
control,02,26,user0025,user0026,2,20,L,Y,C,I,50,0,false,false,-28,50
control,02,27,user0025,user0026,26,22,Y,Y,I,I,56,3,false,false,50,50
control,02,28,user0025,user0026,28,17,K,Y,C,I,60,70,false,false,-270,50
control,02,29,user0025,user0026,21,9,Y,L,I,C,67,96,false,false,50,-25
control,02,30,user0025,user0026,6,1,M,Y,C,I,68,3,false,false,-60,50
control,03,1,user0027,user0028,6,1,K,K,C,C,66,74,false,false,96,96
control,03,2,user0027,user0028,0,13,K,L,C,C,99,79,false,false,130,106
control,03,3,user0027,user0028,20,2,Y,L,I,C,0,93,false,false,50,-28
control,03,4,user0027,user0028,15,4,Y,M,I,C,1,69,false,false,50,23
control,03,5,user0027,user0028,3,25,L,Y,C,I,100,89,false,false,11,50
control,03,6,user0027,user0028,12,8,K,Y,C,I,36,68,false,false,-40,50
control,03,7,user0027,user0028,9,21,K,Y,C,I,68,38,false,false,-7,50
control,03,8,user0027,user0028,18,14,Y,L,I,C,0,73,false,false,50,-2
control,03,9,user0027,user0028,22,26,Y,Y,I,I,16,31,false,false,50,50
control,03,10,user0027,user0028,8,12,L,Y,C,I,100,33,false,false,2,50
control,03,11,user0027,user0028,4,15,Y,Y,I,I,1,28,false,false,50,50
control,03,12,user0027,user0028,14,18,L,Y,C,I,33,36,false,false,-2,50
control,03,13,user0027,user0028,11,29,Y,Y,I,I,13,26,false,false,50,50
control,03,14,user0027,user0028,17,28,Y,Y,I,I,35,18,false,false,50,50
control,03,15,user0027,user0028,13,0,K,L,C,C,95,42,false,false,82,105
control,03,16,user0027,user0028,25,3,Y,Y,I,I,0,62,false,false,50,50
control,03,17,user0027,user0028,7,27,L,Y,C,I,100,37,false,false,-8,50
control,03,18,user0027,user0028,19,5,K,Y,C,I,88,31,false,false,-16,50
control,03,19,user0027,user0028,5,19,M,K,C,C,94,59,false,false,105,72
control,03,20,user0027,user0028,23,16,Y,Y,I,I,0,29,false,false,50,50
control,03,21,user0027,user0028,24,10,Y,Y,I,I,20,30,false,false,50,50
control,03,22,user0027,user0028,10,24,Y,Y,I,I,41,34,false,false,50,50
control,03,23,user0027,user0028,29,11,Y,Y,I,I,0,31,false,false,50,50
control,03,24,user0027,user0028,1,6,K,K,C,C,87,65,false,false,96,96
control,03,25,user0027,user0028,27,7,Y,Y,I,I,22,67,false,false,50,50
control,03,26,user0027,user0028,16,23,Y,Y,I,I,21,29,false,false,50,50
control,03,27,user0027,user0028,2,20,M,Y,C,I,100,32,false,false,-11,50
control,03,28,user0027,user0028,26,22,,Y,undefined,I,0,38,false,false,,
control,03,29,user0027,user0028,28,17,Y,Y,I,I,0,28,false,false,50,50
control,03,30,user0027,user0028,21,9,Y,Y,I,I,17,62,false,false,50,50
control,03,1,user0029,user0030,0,13,M,L,C,C,100,82,false,false,115,106
control,03,2,user0029,user0030,20,2,Y,L,I,C,81,70,false,false,50,-28
control,03,3,user0029,user0030,15,4,M,K,C,C,88,74,false,false,130,100
control,03,4,user0029,user0030,3,25,M,Y,C,I,86,80,false,false,-19,50
control,03,5,user0029,user0030,12,8,M,K,C,C,100,79,false,false,114,95
control,03,6,user0029,user0030,9,21,L,K,C,C,100,83,false,false,100,122
control,03,7,user0029,user0030,18,14,K,K,C,C,100,79,false,false,106,100
control,03,8,user0029,user0030,22,26,M,M,C,C,100,71,false,false,114,122
control,03,9,user0029,user0030,8,12,M,M,C,C,100,69,false,false,106,114
control,03,10,user0029,user0030,4,15,K,M,C,C,100,75,false,false,100,130
control,03,11,user0029,user0030,14,18,K,K,C,C,100,71,false,false,100,106
control,03,12,user0029,user0030,11,29,L,M,C,C,99,71,false,false,122,100
control,03,13,user0029,user0030,17,28,K,K,C,C,100,83,false,false,114,106
control,03,14,user0029,user0030,13,0,L,K,C,C,100,76,false,false,106,130
control,03,15,user0029,user0030,25,3,K,M,C,C,100,65,false,false,130,106
control,03,16,user0029,user0030,7,27,K,L,C,C,100,66,false,false,114,114
control,03,17,user0029,user0030,19,5,K,L,C,C,100,70,false,false,72,130
control,03,18,user0029,user0030,5,19,L,M,C,C,100,70,false,false,130,100
control,03,19,user0029,user0030,23,16,L,L,C,C,100,78,false,false,106,122
control,03,20,user0029,user0030,24,10,L,K,C,C,100,54,false,false,100,130
control,03,21,user0029,user0030,10,24,K,L,C,C,100,64,false,false,130,100
control,03,22,user0029,user0030,29,11,M,L,C,C,100,66,false,false,100,122
control,03,23,user0029,user0030,1,6,M,M,C,C,100,70,false,false,122,122
control,03,24,user0029,user0030,27,7,L,K,C,C,100,68,false,false,114,114
control,03,25,user0029,user0030,16,23,L,L,C,C,100,62,false,false,122,106
control,03,26,user0029,user0030,2,20,L,M,C,C,100,74,false,false,114,115
control,03,27,user0029,user0030,26,22,K,M,C,C,100,70,false,false,107,114
control,03,28,user0029,user0030,28,17,K,K,C,C,100,81,false,false,106,114
control,03,29,user0029,user0030,21,9,K,L,C,C,100,68,false,false,122,100
control,03,30,user0029,user0030,6,1,M,M,C,C,100,64,false,false,122,122
control,04,1,user0035,user0036,6,1,K,L,C,C,83,80,false,false,96,107
control,04,2,user0035,user0036,0,13,K,M,C,C,100,81,false,false,130,95
control,04,3,user0035,user0036,20,2,L,L,C,C,100,81,false,false,105,114
control,04,4,user0035,user0036,15,4,K,K,C,C,100,82,false,false,105,100
control,04,5,user0035,user0036,3,25,K,K,C,C,100,82,false,false,95,130
control,04,6,user0035,user0036,12,8,M,M,C,C,100,80,false,false,114,106
control,04,7,user0035,user0036,9,21,L,K,C,C,100,82,false,false,100,122
control,04,8,user0035,user0036,18,14,K,K,C,C,100,81,false,false,106,100
control,04,9,user0035,user0036,22,26,M,M,C,C,100,81,false,false,114,122
control,04,10,user0035,user0036,8,12,M,M,C,C,100,82,false,false,106,114
control,04,11,user0035,user0036,4,15,K,M,C,C,99,80,false,false,100,130
control,04,12,user0035,user0036,14,18,K,K,C,C,100,80,false,false,100,106
control,04,13,user0035,user0036,11,29,L,M,C,C,100,81,false,false,122,100
control,04,14,user0035,user0036,17,28,K,K,C,C,100,81,false,false,114,106
control,04,15,user0035,user0036,13,0,L,K,C,C,100,88,false,false,106,130
control,04,16,user0035,user0036,25,3,K,M,C,C,100,80,false,false,130,106
control,04,17,user0035,user0036,7,27,K,L,C,C,100,81,false,false,114,114
control,04,18,user0035,user0036,19,5,M,L,C,C,100,80,false,false,100,130
control,04,19,user0035,user0036,5,19,L,M,C,C,100,82,false,false,130,100
control,04,20,user0035,user0036,23,16,L,L,C,C,100,80,false,false,106,122
control,04,21,user0035,user0036,24,10,L,K,C,C,100,80,false,false,100,130
control,04,22,user0035,user0036,10,24,K,L,C,C,100,80,false,false,130,100
control,04,23,user0035,user0036,29,11,M,L,C,C,100,79,false,false,100,122
control,04,24,user0035,user0036,1,6,M,M,C,C,100,81,false,false,122,122
control,04,25,user0035,user0036,27,7,L,K,C,C,100,81,false,false,114,114
control,04,26,user0035,user0036,16,23,L,L,C,C,100,80,false,false,122,106
control,04,27,user0035,user0036,2,20,L,K,C,C,100,81,false,false,114,130
control,04,28,user0035,user0036,26,22,M,M,C,C,100,80,false,false,122,114
control,04,29,user0035,user0036,28,17,K,K,C,C,100,82,false,false,106,114
control,04,30,user0035,user0036,21,9,K,L,C,C,100,81,false,false,122,100
control,04,1,user0037,user0038,0,13,K,L,C,C,82,50,false,false,130,106
control,04,2,user0037,user0038,20,2,K,K,C,C,65,77,false,false,130,88
control,04,3,user0037,user0038,15,4,M,Y,C,I,46,8,false,false,-190,50
control,04,4,user0037,user0038,3,25,M,K,C,C,68,84,false,false,106,130
control,04,5,user0037,user0038,12,8,M,L,C,C,67,76,false,false,114,82
control,04,6,user0037,user0038,9,21,M,Y,C,I,51,67,false,false,17,50
control,04,7,user0037,user0038,18,14,K,L,C,C,53,50,false,false,106,72
control,04,8,user0037,user0038,22,26,M,M,C,C,42,50,false,false,114,122
control,04,9,user0037,user0038,8,12,M,M,C,C,55,50,false,false,106,114
control,04,10,user0037,user0038,4,15,K,M,C,C,70,50,false,false,100,130
control,04,11,user0037,user0038,14,18,K,K,C,C,54,50,false,false,100,106
control,04,12,user0037,user0038,11,29,L,M,C,C,55,50,false,false,122,100
control,04,13,user0037,user0038,17,28,K,K,C,C,60,50,false,false,114,106
control,04,14,user0037,user0038,13,0,L,K,C,C,56,50,false,false,106,130
control,04,15,user0037,user0038,25,3,K,M,C,C,59,50,false,false,130,106
control,04,16,user0037,user0038,7,27,K,L,C,C,45,50,false,false,114,114
control,04,17,user0037,user0038,19,5,M,L,C,C,61,64,false,false,100,130
control,04,18,user0037,user0038,5,19,L,M,C,C,55,50,false,false,130,100
control,04,19,user0037,user0038,23,16,L,L,C,C,55,50,false,false,106,122
control,04,20,user0037,user0038,24,10,L,K,C,C,54,50,false,false,100,130
control,04,21,user0037,user0038,10,24,K,L,C,C,66,50,false,false,130,100
control,04,22,user0037,user0038,29,11,M,L,C,C,56,50,false,false,100,122
control,04,23,user0037,user0038,1,6,M,M,C,C,59,50,false,false,122,122
control,04,24,user0037,user0038,27,7,L,K,C,C,71,50,false,false,114,114
control,04,25,user0037,user0038,16,23,L,L,C,C,62,50,false,false,122,106
control,04,26,user0037,user0038,2,20,L,K,C,C,63,50,false,false,114,130
control,04,27,user0037,user0038,26,22,M,M,C,C,55,50,false,false,122,114
control,04,28,user0037,user0038,28,17,K,K,C,C,70,50,false,false,106,114
control,04,29,user0037,user0038,21,9,K,L,C,C,65,50,false,false,122,100
control,04,30,user0037,user0038,6,1,M,M,C,C,65,50,false,false,122,122
control,05,1,user0043,user0044,6,1,M,M,C,C,100,100,false,false,122,122
control,05,2,user0043,user0044,0,13,L,L,C,C,88,100,false,false,105,106
control,05,3,user0043,user0044,20,2,K,L,C,C,95,100,false,false,130,114
control,05,4,user0043,user0044,15,4,K,K,C,C,100,100,false,false,105,100
control,05,5,user0043,user0044,3,25,Y,Y,I,I,100,100,false,false,50,50
control,05,6,user0043,user0044,12,8,L,M,C,C,98,100,false,false,100,106
control,05,7,user0043,user0044,9,21,Y,Y,I,I,100,100,false,false,50,50
control,05,8,user0043,user0044,18,14,K,L,C,C,99,100,false,false,106,72
control,05,9,user0043,user0044,22,26,Y,Y,I,I,99,100,false,false,50,50
control,05,10,user0043,user0044,8,12,M,L,C,C,100,100,false,false,106,100
control,05,11,user0043,user0044,4,15,K,K,C,C,100,100,false,false,100,105
control,05,12,user0043,user0044,14,18,K,M,C,C,100,100,false,false,100,95
control,05,13,user0043,user0044,11,29,K,K,C,C,100,100,false,false,107,72
control,05,14,user0043,user0044,17,28,M,M,C,C,100,100,false,false,88,82
control,05,15,user0043,user0044,13,0,L,K,C,C,100,100,false,false,106,130
control,05,16,user0043,user0044,25,3,Y,Y,I,I,100,100,false,false,50,50
control,05,17,user0043,user0044,7,27,Y,Y,I,I,99,100,false,false,50,50
control,05,18,user0043,user0044,19,5,M,L,C,C,100,100,false,false,100,130
control,05,19,user0043,user0044,5,19,L,M,C,C,100,100,false,false,130,100
control,05,20,user0043,user0044,23,16,L,M,C,C,50,100,false,false,106,96
control,05,21,user0043,user0044,24,10,L,M,C,C,99,100,false,false,100,115
control,05,22,user0043,user0044,10,24,K,M,C,C,100,100,false,false,130,88
control,05,23,user0043,user0044,29,11,M,L,C,C,97,100,false,false,100,122
control,05,24,user0043,user0044,1,6,M,M,C,C,100,100,false,false,122,122
control,05,25,user0043,user0044,27,7,Y,Y,I,I,100,100,false,false,50,50
control,05,26,user0043,user0044,16,23,L,M,C,C,100,100,false,false,122,82
control,05,27,user0043,user0044,2,20,Y,Y,I,I,100,100,false,false,50,50
control,05,28,user0043,user0044,26,22,M,K,C,C,100,100,false,false,122,88
control,05,29,user0043,user0044,28,17,K,L,C,C,100,100,false,false,106,100
control,05,30,user0043,user0044,21,9,K,L,C,C,100,100,false,false,122,100
control,05,1,user0045,user0046,0,13,L,L,C,C,55,60,false,false,105,106
control,05,2,user0045,user0046,20,2,L,L,C,C,63,46,false,false,105,114
control,05,3,user0045,user0046,15,4,M,M,C,C,60,28,false,false,130,72
control,05,4,user0045,user0046,3,25,M,M,C,C,57,41,false,false,106,115
control,05,5,user0045,user0046,12,8,M,M,C,C,61,63,false,false,114,106
control,05,6,user0045,user0046,9,21,L,Y,C,I,65,39,false,false,-25,50
control,05,7,user0045,user0046,18,14,K,K,C,C,57,39,false,false,106,100
control,05,8,user0045,user0046,22,26,K,Y,C,I,55,30,false,false,-102,50
control,05,9,user0045,user0046,8,12,L,L,C,C,78,91,false,false,82,100
control,05,10,user0045,user0046,4,15,Y,Y,I,I,63,37,false,false,50,50
control,05,11,user0045,user0046,14,18,L,L,C,C,50,60,false,false,72,82
control,05,12,user0045,user0046,11,29,Y,Y,I,I,67,100,false,false,50,50
control,05,13,user0045,user0046,17,28,M,K,C,C,50,50,false,false,88,106
control,05,14,user0045,user0046,13,0,K,K,C,C,61,79,false,false,82,130
control,05,15,user0045,user0046,25,3,Y,L,I,C,64,70,false,false,50,11
control,05,16,user0045,user0046,7,27,Y,Y,I,I,59,31,false,false,50,50
control,05,17,user0045,user0046,19,5,K,L,C,C,66,64,false,false,72,130
control,05,18,user0045,user0046,5,19,M,M,C,C,58,63,false,false,105,100
control,05,19,user0045,user0046,23,16,Y,Y,I,I,65,31,false,false,50,50
control,05,20,user0045,user0046,24,10,K,K,C,C,56,16,false,false,72,130
control,05,21,user0045,user0046,10,24,Y,Y,I,I,62,68,false,false,50,50
control,05,22,user0045,user0046,29,11,K,M,C,C,43,83,false,false,72,96
control,05,23,user0045,user0046,1,6,K,L,C,C,62,42,false,false,96,107
control,05,24,user0045,user0046,27,7,Y,Y,I,I,66,31,false,false,50,50
control,05,25,user0045,user0046,16,23,L,M,C,C,69,28,false,false,122,82
control,05,26,user0045,user0046,2,20,Y,Y,I,I,53,80,false,false,50,50
control,05,27,user0045,user0046,26,22,Y,Y,I,I,61,86,false,false,50,50
control,05,28,user0045,user0046,28,17,M,M,C,C,57,63,false,false,82,88
control,05,29,user0045,user0046,21,9,Y,Y,I,I,63,98,false,false,50,50
control,05,30,user0045,user0046,6,1,L,M,C,C,64,100,false,false,107,122
control,06,1,user0051,user0052,6,1,M,L,C,C,75,67,false,false,122,107
control,06,2,user0051,user0052,0,13,Y,K,I,C,20,72,false,false,50,-25
control,06,3,user0051,user0052,20,2,K,K,C,C,79,64,false,false,130,88
control,06,4,user0051,user0052,15,4,M,M,C,C,81,63,false,false,130,72
control,06,5,user0051,user0052,3,25,Y,Y,I,I,27,40,false,false,50,50
control,06,6,user0051,user0052,12,8,L,L,C,C,81,80,false,false,100,82
control,06,7,user0051,user0052,9,21,Y,Y,I,I,25,89,false,false,50,50
control,06,8,user0051,user0052,18,14,Y,Y,I,I,25,31,false,false,50,50
control,06,9,user0051,user0052,22,26,Y,Y,I,I,16,41,false,false,50,50
control,06,10,user0051,user0052,8,12,M,L,C,C,76,73,false,false,106,100
control,06,11,user0051,user0052,4,15,Y,L,I,C,23,42,false,false,50,-145
control,06,12,user0051,user0052,14,18,Y,Y,I,I,15,81,false,false,50,50
control,06,13,user0051,user0052,11,29,L,L,C,C,87,69,false,false,122,88
control,06,14,user0051,user0052,17,28,Y,Y,I,I,19,78,false,false,50,50
control,06,15,user0051,user0052,13,0,L,K,C,C,77,71,false,false,106,130
control,06,16,user0051,user0052,25,3,L,M,C,C,76,76,false,false,105,106
control,06,17,user0051,user0052,7,27,M,L,C,C,78,87,false,false,100,114
control,06,18,user0051,user0052,19,5,M,L,C,C,74,85,false,false,100,130
control,06,19,user0051,user0052,5,19,M,M,C,C,77,83,false,false,105,100
control,06,20,user0051,user0052,23,16,Y,Y,I,I,27,81,false,false,50,50
control,06,21,user0051,user0052,24,10,L,K,C,C,80,86,false,false,100,130
control,06,22,user0051,user0052,10,24,K,L,C,C,75,86,false,false,130,100
control,06,23,user0051,user0052,29,11,Y,Y,I,I,22,85,false,false,50,50
control,06,24,user0051,user0052,1,6,M,M,C,C,77,81,false,false,122,122
control,06,25,user0051,user0052,27,7,Y,Y,I,I,15,85,false,false,50,50
control,06,26,user0051,user0052,16,23,,Y,undefined,I,28,40,false,false,,
control,06,27,user0051,user0052,2,20,L,K,C,C,79,75,false,false,114,130
control,06,28,user0051,user0052,26,22,Y,Y,I,I,26,85,false,false,50,50
control,06,29,user0051,user0052,28,17,Y,Y,I,I,79,78,false,false,50,50
control,06,30,user0051,user0052,21,9,K,L,C,C,88,95,false,false,122,100
control,06,1,user0053,user0054,0,13,M,L,C,C,81,82,false,false,115,106
control,06,2,user0053,user0054,20,2,K,L,C,C,74,89,false,false,130,114
control,06,3,user0053,user0054,15,4,K,K,C,C,88,83,false,false,105,100
control,06,4,user0053,user0054,3,25,Y,Y,I,I,82,13,false,false,50,50
control,06,5,user0053,user0054,12,8,L,M,C,C,72,77,false,false,100,106
control,06,6,user0053,user0054,9,21,L,K,C,C,86,89,false,false,100,122
control,06,7,user0053,user0054,18,14,L,K,C,C,88,84,false,false,82,100
control,06,8,user0053,user0054,22,26,Y,Y,I,I,15,12,false,false,50,50
control,06,9,user0053,user0054,8,12,K,M,C,C,85,88,false,false,95,114
control,06,10,user0053,user0054,4,15,K,Y,C,I,91,15,false,false,-9,50
control,06,11,user0053,user0054,14,18,L,M,C,C,74,81,false,false,72,95
control,06,12,user0053,user0054,11,29,Y,Y,I,I,20,9,false,false,50,50
control,06,13,user0053,user0054,17,28,L,Y,C,I,74,14,false,false,-100,50
control,06,14,user0053,user0054,13,0,K,L,C,C,84,83,false,false,82,105
control,06,15,user0053,user0054,25,3,Y,Y,I,I,15,13,false,false,50,50
control,06,16,user0053,user0054,7,27,M,Y,C,I,76,76,false,false,-25,50
control,06,17,user0053,user0054,19,5,M,L,C,C,83,85,false,false,100,130
control,06,18,user0053,user0054,5,19,K,M,C,C,85,85,false,false,115,100
control,06,19,user0053,user0054,23,16,Y,Y,I,I,18,15,false,false,50,50
control,06,20,user0053,user0054,24,10,M,Y,C,I,79,14,false,false,-105,50
control,06,21,user0053,user0054,10,24,K,K,C,C,93,86,false,false,130,72
control,06,22,user0053,user0054,29,11,K,Y,C,I,92,15,false,false,-75,50
control,06,23,user0053,user0054,1,6,M,M,C,C,89,87,false,false,122,122
control,06,24,user0053,user0054,27,7,L,K,C,C,89,88,false,false,114,114
control,06,25,user0053,user0054,16,23,Y,Y,I,I,16,13,false,false,50,50
control,06,26,user0053,user0054,2,20,M,Y,C,I,89,8,false,false,-11,50
control,06,27,user0053,user0054,26,22,L,Y,C,I,88,13,false,false,-205,50
