username,arm,session,gender,age,stem_education_years,english_proficiency,social_closeness,presurvey_trust_2,presurvey_risk_3,presurvey_control_1,presurvey_risk_2,presurvey_trust_1,presurvey_risk_1,presurvey_control_3,presurvey_trust_3,presurvey_control_2,postsurvey_control_2,postsurvey_risk_1,postsurvey_trust_3,postsurvey_risk_2,postsurvey_trust_1,postsurvey_control_3,postsurvey_trust_2,postsurvey_control_1,postsurvey_risk_3
user0026,control,02,Male,23,5,Medium-High,3,50,50,50,50,68,90,90,67,50,30,62,50,50,81,100,50,0,77
user0027,control,03,Male,29,9,High,1,18,41,44,14,26,86,32,31,66,89,64,47,35,41,50,25,15,55
user0028,control,03,Female,29,7,High,3,61,72,72,71,71,43,55,72,73,60,59,50,42,41,59,59,93,83
user0029,control,03,Male,32,8,High,4,78,79,44,28,79,80,79,34,59,100,100,100,99,81,100,0,0,100
user0030,control,03,Male,30,10,High,4,33,78,65,24,68,40,54,56,68,69,30,43,61,61,81,12,23,70
user0031,treatment,03,Female,24,1,High,1,50,50,50,50,87,89,85,87,90,97,98,1,10,95,84,16,13,97
user0032,treatment,03,Female,29,10,High,1,23,76,29,69,68,66,70,73,22,69,20,17,71,33,83,84,76,74
user0033,treatment,03,Male,23,5,High,1,55,86,16,82,82,59,73,73,95,93,93,3,8,96,95,9,7,97
user0034,treatment,03,Male,31,9,High,1,3,100,75,88,90,80,60,82,91,97,31,1,42,98,44,5,38,100
user0035,control,04,Female,27,6,Fluent/Native,1,0,100,100,28,75,75,75,100,100,100,100,24,23,78,77,0,22,80
user0036,control,04,Male,38,11,Fluent/Native,1,50,99,99,100,70,91,99,0,37,100,100,0,100,86,88,86,90,99
user0037,control,04,Female,23,5,Fluent/Native,1,28,63,56,38,54,60,59,67,62,83,47,33,56,53,54,31,54,54
user0038,control,04,Male,25,7,Medium-High,1,25,37,50,65,87,73,77,74,40,95,80,80,81,82,83,84,85,35
user0039,treatment,04,Male,22,4,Fluent/Native,1,0,94,32,42,79,31,74,100,100,100,0,0,58,100,96,0,40,100
user0040,treatment,04,Female,22,5,Fluent/Native,2,72,98,50,23,78,34,45,92,91,100,9,1,3,100,96,0,78,100
user0041,treatment,04,Female,21,3,Fluent/Native,1,41,56,0,31,68,35,77,60,81,100,70,80,32,28,91,64,13,55
user0042,treatment,04,Male,27,5,High,1,100,16,42,24,100,29,46,81,94,37,58,27,66,75,29,46,68,44
user0043,control,05,Male,23,1,undefined,undefined,64,70,32,77,40,58,58,58,63,100,28,3,69,84,78,24,22,94
user0044,control,05,Male,37,6,Fluent/Native,2,0,100,91,100,78,6,95,100,100,100,100,0,79,79,100,0,100,100
user0045,control,05,Female,26,Undergraduate,High,1,37,67,45,62,36,50,55,55,26,72,95,4,71,88,80,39,38,70
user0046,control,05,Male,23,graduate,Fluent/Native,1,25,100,42,28,78,20,75,61,70,83,81,41,32,80,100,90,39,94
user0047,treatment,05,Male,23,5,Medium-High,1,24,61,6,83,94,100,71,85,92,100,100,96,96,97,85,15,87,96
user0048,treatment,05,Female,27,7,undefined,undefined,23,74,0,50,25,76,76,64,64,69,28,70,70,91,100,62,66,78
user0049,treatment,05,Male,21,4,Fluent/Native,1,12,89,55,9,66,44,55,84,77,54,45,28,45,87,93,11,23,93
user0050,treatment,05,Female,27,8,High,1,39,25,36,76,77,24,73,73,74,71,26,42,50,67,65,63,64,77
user0051,control,06,Female,22,4,Fluent/Native,1,63,63,32,39,62,34,63,61,70,73,26,23,29,70,24,22,77,77
user0052,control,06,Female,21,2,Fluent/Native,1,25,72,57,57,46,58,70,57,70,85,62,33,67,68,92,59,74,96
user0053,control,06,Male,21,2,Fluent/Native,3,19,83,38,86,74,54,63,67,71,82,41,32,70,78,57,40,62,76
user0054,control,06,Male,21,4,Fluent/Native,3,11,92,63,40,68,33,41,55,62,16,63,54,65,49,76,61,55,52
user0055,treatment,06,Male,22,4,Fluent/Native,1,0,100,65,80,100,83,59,100,100,98,2,5,29,97,62,32,81,93
user0056,treatment,06,Male,20,3,Fluent/Native,1,19,78,33,32,84,19,67,87,87,88,64,4,30,72,75,23,40,94
user0057,treatment,06,Male,22,4,Fluent/Native,5,29,96,59,43,76,30,65,74,81,77,26,14,20,87,55,31,47,81
user0058,treatment,06,Male,22,4,High,4,19,78,25,41,73,54,63,96,96,79,32,0,79,73,90,16,5,77
user0059,treatment,07,Male,26,6,Medium-Low,4,72,64,25,50,64,64,64,65,68,71,50,10,29,39,71,28,31,61
user0060,treatment,07,Male,23,graduate,Medium-High,2,24,18,22,26,81,33,62,79,77,85,34,26,22,91,85,18,40,30
user0061,treatment,07,Male,29,9,High,1,0,75,16,99,22,80,79,33,67,14,96,87,86,19,93,11,21,86
user0062,treatment,07,Male,28,7,High,1,59,65,82,60,68,67,71,77,82,64,69,70,86,63,85,69,92,96
